site name,country,lat,lon
Barro Colorado Island,Panama,9.15,-79.86
XTBG,China,21.9,101.77
Parque Natural Metropolitano,Panama,8.98,-79.55
Parque Nacional San Lorenzo ,Panama,9.28,-79.97
Kau Wildlife Preserve,Papua New Guinea,-5.13,145.68
Parque Nacional Soberania,Panama,9.17,-79.12
Unknown,USA,35.13,-83.59
Ciudad del Saber,Panama,9.01,-79.58
Serra das Almas Private Natural Heritage Reserve,Brazil,-5.12,-40.93
Estacion de Biologia Chamel,Mexico,19.5,-105.05
Mount Bartle Frere,Australia,-17.53,145.58
Parque Natural Metropolitano,Panama,8.99,-79.55
Queensland,Australia,-16.56,145.28
Georgia,USA,34.67,-83.35
New South Wales,Australia,-29.25,152.12
Nouragues,French Guiana,4.08,-52.67
Estación Experimental Forestal Horizontes,Costa Rica,10.72,-85.59
