name,description,units,notes
WD,Wood density,g cm-3,
SLA,Specific leaf area,m2 kg-1,
Aarea,Area-based CO2 assimilation,mmol m2 s-1,
kl,Maximum hydraulic conductivity of the stem per unit leaf area,kg m-1 s-1 MPa-1,
ks,Maximum hydraulic conductivity of the stem per unit sapwood area,kg m-1 s-1 MPa-1,
Al.As,Leaf to sapwood ratio,m2 cm-2,
P50,Water potential at which 50% of the wood conductivity is lost,MPa,
Ptlp_leaf,Leaf turgor loss point,MPa,
Ptlp_wood,Wood turgor loss point,MPa,
Cft_leaf,Leaf hydraulic capacitance,kg m-3 MPa-1,
Cft_wood,Wood hydraulic capacitance,kg kg-1 MPa-1,
ax,Slope of the vulnerability curve,% MPa-1,
Vcmax25,Maximum rate of rubisco carboxylase at 25°C,µmol m-2 s-1,
Jmax25,Maximum rate of photosynthetic electron transport at 25°C,µmol m-2 s-1,
Nmass,Leaf nitrogen content,mg/g,
Cmass,Leaf carbon content,mg/g,
Pmass,Leaf phosphorus content,mg/g,
